0 "tensor(0.1727, device='cuda:0')" "tensor(22.6124, device='cuda:0')" "tensor(0.1609, device='cuda:0')" "tensor(21.7180, device='cuda:0')"
1 "tensor(0.1600, device='cuda:0')" "tensor(24.9184, device='cuda:0')" "tensor(0.1536, device='cuda:0')" "tensor(19.3332, device='cuda:0')"
2 "tensor(0.1555, device='cuda:0')" "tensor(25.4509, device='cuda:0')" "tensor(0.1510, device='cuda:0')" "tensor(22.4126, device='cuda:0')"
3 "tensor(0.1518, device='cuda:0')" "tensor(26.1090, device='cuda:0')" "tensor(0.1478, device='cuda:0')" "tensor(22.1579, device='cuda:0')"
4 "tensor(0.1484, device='cuda:0')" "tensor(26.5813, device='cuda:0')" "tensor(0.1455, device='cuda:0')" "tensor(23.8713, device='cuda:0')"
5 "tensor(0.1456, device='cuda:0')" "tensor(27.2846, device='cuda:0')" "tensor(0.1446, device='cuda:0')" "tensor(23.9407, device='cuda:0')"
0,"tensor(0.1727, device='cuda:0')","tensor(22.6626, device='cuda:0')","tensor(0.1608, device='cuda:0')","tensor(21.6022, device='cuda:0')"
1,"tensor(0.1600, device='cuda:0')","tensor(25.0038, device='cuda:0')","tensor(0.1541, device='cuda:0')","tensor(18.9627, device='cuda:0')"
2,"tensor(0.1554, device='cuda:0')","tensor(25.3152, device='cuda:0')","tensor(0.4479, device='cuda:0')","tensor(22.8062, device='cuda:0')"
3,"tensor(0.1516, device='cuda:0')","tensor(26.1040, device='cuda:0')","tensor(0.1479, device='cuda:0')","tensor(22.5515, device='cuda:0')"
4,"tensor(0.1484, device='cuda:0')","tensor(26.4456, device='cuda:0')","tensor(0.1458, device='cuda:0')","tensor(23.5934, device='cuda:0')"
0,tensor(0.1727),tensor(22.6225),tensor(0.1610),tensor(21.5791)
1,tensor(1.0232),tensor(24.5014),tensor(10.4292),tensor(9.0993)
2,tensor(6.0242),tensor(8.5154),tensor(1.3298),tensor(11.0674)
3,tensor(0.6290),tensor(9.9874),tensor(0.4214),tensor(10.3496)
4,tensor(0.2909),tensor(13.2077),tensor(0.2290),tensor(16.6937)
5,tensor(0.2347),tensor(15.5740),tensor(0.2039),tensor(20.7918)
6,tensor(0.2114),tensor(16.3527),tensor(0.2109),tensor(20.9076)
7,tensor(0.1989),tensor(17.9302),tensor(0.1888),tensor(18.8238)
8,tensor(0.1900),tensor(19.4273),tensor(0.1805),tensor(19.4489)
9,tensor(0.1774),tensor(20.6933),tensor(0.1651),tensor(20.6992)
10,tensor(0.1736),tensor(20.9897),tensor(0.1643),tensor(19.9120)
11,tensor(0.1723),tensor(21.5574),tensor(0.1622),tensor(20.5140)
12,tensor(0.1699),tensor(21.4167),tensor(0.1614),tensor(20.4445)
13,tensor(0.1683),tensor(21.6729),tensor(0.1629),tensor(19.5416)
14,tensor(0.1669),tensor(21.7081),tensor(0.1607),tensor(20.3751)
15,tensor(0.1670),tensor(21.7533),tensor(0.1603),tensor(20.5603)
16,tensor(0.1655),tensor(21.9292),tensor(0.1605),tensor(20.3982)
17,tensor(0.1637),tensor(22.4315),tensor(0.1592),tensor(21.1623)
18,tensor(0.1627),tensor(22.1502),tensor(0.1588),tensor(21.0697)
19,tensor(0.1627),tensor(22.1552),tensor(0.1587),tensor(21.0234)
20,tensor(0.1619),tensor(22.5471),tensor(0.1575),tensor(21.2318)
21,tensor(0.1614),tensor(22.6275),tensor(0.1579),tensor(21.4170)
22,tensor(0.1611),tensor(22.8787),tensor(0.1581),tensor(21.3475)
23,tensor(0.1614),tensor(22.8134),tensor(0.1580),tensor(21.3012)
24,tensor(0.1609),tensor(22.9339),tensor(0.1577),tensor(21.3012)
25,tensor(0.1596),tensor(23.1902),tensor(0.1575),tensor(21.6717)
26,tensor(0.1599),tensor(23.2404),tensor(0.1574),tensor(21.7874)
